id;title;month_published;genre;languages_interface;languages_spoken;recommended_graphics;user_ratings_positive;user_ratings_negative
1599340;Lost Ark;02;;;;;108155;41295
1245620;ELDEN RING;02;;;;;261763;44045
1142710;Total War: WARHAMMER III;02;;;;;17070;10952
1332010;Stray;07;;;;;68523;1783
534380;Dying Light 2 Stay Human: Reloaded Edition;02;;;;;54306;14325
920210;LEGO® Star Wars™: The Skywalker Saga;04;;;;;19579;1479
1449850;Yu-Gi-Oh! Master Duel;01;;;;;24478;7311
1446780;MONSTER HUNTER RISE;01;;;;;13369;2101
1361210;Warhammer 40,000: Darktide;11;;;;;29104;18217
1811260;EA SPORTS™ FIFA 23;09;;;;;7585;10988
1938090;Call of Duty®;10;;;;;81848;49892
1604030;V Rising;05;;;;;11565;1766
1286680;Tiny Tina's Wonderlands;06;;;;;2121;670
975370;Dwarf Fortress;12;;;;;16624;775
529340;Victoria 3;10;;;;;11019;5593
1462040;FINAL FANTASY VII REMAKE INTERGRADE;06;;;;;5220;570
648800;Raft;06;;;;;21429;1772
1817070;Marvel’s Spider-Man Remastered;08;;;;;26403;981
1687950;Persona 5 Royal;10;;;;;14390;354
1904540;Football Manager 2023;11;;;;;4719;795
1583230;High On Life;12;;;;;7129;747
1692250;F1® 22;07;;;;;6687;3659
1593500;God of War;01;;;;;28665;983
1313140;Cult of the Lamb;08;;;;;24408;2169
1255630;WWE 2K22;03;;;;;3396;1250
1703340;The Stanley Parable: Ultra Deluxe;04;;;;;11081;694
1544020;The Callisto Protocol™;12;;;;;12996;8914
1498570;THE KING OF FIGHTERS XV;12;;;;;137;19
824550;SD GUNDAM BATTLE ALLIANCE;08;;;;;2259;1392
1029690;Sniper Elite 5;05;;;;;2830;1048
1253920;Rogue Legacy 2;04;;;;;3570;511
1708520;F1® Manager 2022;08;;;;;3525;1273
261550;Mount & Blade II: Bannerlord;10;;;;;9774;1357
1846380;Need for Speed™ Unbound;12;;;;;5565;2793
1817190;Marvel’s Spider-Man: Miles Morales;11;;;;;6191;389
1824220;Chivalry 2;06;;;;;9472;2116
1361510;Teenage Mutant Ninja Turtles: Shredder's Revenge;06;;;;;5869;453
1818750;MultiVersus;07;;;;;66707;8818
1919590;NBA 2K23;09;;;;;3980;3474
962130;Grounded;09;;;;;3934;724
1657630;Slime Rancher 2;09;;;;;2453;367
368260;Marvel's Midnight Suns;12;;;;;4372;1357
1044720;Farthest Frontier;10;;;;;1259;230
1475810;Ghostwire: Tokyo;03;;;;;3044;721
2208920;Assassin's Creed Valhalla;12;;;;;3472;1939
1608070;CRISIS CORE –FINAL FANTASY VII– REUNION;12;;;;;2353;241
1237320;Sonic Frontiers;11;;;;;10877;603
1611910;Warhammer 40,000: Chaos Gate - Daemonhunters;05;;;;;3382;1120
1621690;Core Keeper;08;;;;;4723;506
1496790;Gotham Knights;10;;;;;5404;2107
949230;Cities: Skylines II;10;;;;;17025;11987
1888160;ARMORED CORE™ VI FIRES OF RUBICON™;08;;;;;36094;4966
1774580;STAR WARS Jedi: Survivor™;04;;;;;16483;11555
2195250;EA SPORTS FC™ 24;09;;;;;7381;6014
1272080;PAYDAY 3;09;;;;;12448;20888
1326470;Sons Of The Forest;02;;;;;11054;1428
1364780;Street Fighter™ 6;06;;;;;11369;1458
1282100;REMNANT II®;07;;;;;17547;3884
990080;Hogwarts Legacy;02;;;;;129385;10485
1086940;Baldur's Gate 3;08;;;;;241572;9765
2050650;Resident Evil 4;03;;;;;46812;1444
1716740;Starfield;09;;;;;53302;20482
1971870;Mortal Kombat 1;09;;;;;7346;2517
1669000;Age of Wonders 4;05;;;;;5829;1478
2399830;ARK: Survival Ascended;10;;;;;18494;14276
1260320;Party Animals;09;;;;;14002;6521
668580;Atomic Heart;02;;;;;12980;2183
2252570;Football Manager 2024;11;;;;;6261;858
671860;BattleBit Remastered;06;;;;;59613;6752
1868140;DAVE THE DIVER;06;;;;;31977;1154
1448440;Wo Long: Fallen Dynasty;03;;;;;7316;9212
1304930;The Outlast Trials;03;;;;;2701;273
2073850;THE FINALS;12;;;;;82940;29920
1693980;Dead Space;01;;;;;18534;1764
1562430;DREDGE;03;;;;;8664;356
2338770;NBA 2K24;09;;;;;1458;9700
1676840;For The King II;11;;;;;5277;2536
2440510;Forza Motorsport;10;;;;;1786;2645
2322560;Love Is All Around;10;;;;;27292;1426
1501750;Lords of the Fallen;10;;;;;10374;7260
2186680;Warhammer 40,000: Rogue Trader;12;;;;;5941;2122
2108330;F1® 23;06;;;;;3534;667
1888930;The Last of Us™ Part I;03;;;;;9176;9445
1971650;OCTOPATH TRAVELER II;02;;;;;3114;119
1171690;Wayfinder;10;;;;;2539;338
1527950;Wartales;04;;;;;5743;610
1938010;WILD HEARTS™;02;;;;;3525;4132
1817230;Hi-Fi RUSH;01;;;;;10697;207
1677280;Company of Heroes 3;02;;;;;5287;3542
1627720;Lies of P;09;;;;;10465;1365
1144200;Ready or Not;12;;;;;18283;5222
954850;Kerbal Space Program 2;02;;;;;6269;5919
1268750;Starship Troopers: Extermination;10;;;;;632;697
1548850;Six Days in Fallujah;06;;;;;4735;735
2344520;Diablo® IV;10;;;;;5447;2580
1997040;MARVEL SNAP;08;;;;;2123;670
2369390;Far Cry® 6;05;;;;;4581;2178
1433140;The Texas Chain Saw Massacre;08;;;;;8945;2410
1940340;Darkest Dungeon® II;05;;;;;6467;2152
1337520;Risk of Rain Returns;11;;;;;19827;2303
2933620;Call of Duty®: Black Ops 6;11;;;;;4671;3555
2183900;Warhammer 40,000: Space Marine 2;09;;;;;62550;16068
1643320;S.T.A.L.K.E.R. 2: Heart of Chornobyl;11;;;;;61955;12713
2054970;Dragon's Dogma 2;03;;;;;34862;25555
1623730;Palworld;01;;;;;215082;14271
1790600;DRAGON BALL: Sparking! ZERO;10;;;;;32226;2943
2694490;Path of Exile 2;12;;;;;68703;17001
2358720;Black Myth: Wukong;08;;;;;634089;28665
553850;HELLDIVERS™ 2;02;;;;;174213;51027
2669320;EA SPORTS FC™ 25;09;;;;;7654;8926
2878980;NBA 2K25;10;;;;;2558;1681
1363080;Manor Lords;04;;;;;34694;4709
1145350;Hades II;09;;;;;16887;1016
881020;Granblue Fantasy: Relink;01;;;;;22250;3044
1203620;Enshrouded;01;;;;;30604;5158
899770;Last Epoch;02;;;;;40647;18639
2300320;Farming Simulator 25;11;;;;;12076;2920
2479810;Gray Zone Warfare;04;;;;;27655;14615
2074920;The First Descendant;06;;;;;40155;34499
2767030;Marvel Rivals;12;;;;;116150;29023
1778820;TEKKEN 8;01;;;;;10853;1406
1845910;Dragon Age™: The Veilguard;10;;;;;20582;7767
2215430;Ghost of Tsushima DIRECTOR'S CUT;05;;;;;18660;2175
2429640;THRONE AND LIBERTY;10;;;;;32574;16168
2688950;Planet Coaster 2;11;;;;;3503;2039
2161700;Persona 3 Reload;02;;;;;10948;335
2139460;Once Human;07;;;;;49146;20373
1928980;Nightingale;02;;;;;6429;4038
1326470;Sons Of The Forest;02;;;;;11054;1428
2321470;Deep Rock Galactic: Survivor;09;;;;;2697;738
2420110;Horizon Forbidden West™ Complete Edition;03;;;;;6355;655
1934680;Age of Mythology: Retold;09;;;;;8372;1102
1575940;Sins of a Solar Empire II;08;;;;;3379;546
1371980;No Rest for the Wicked;04;;;;;16889;6116
2552430;KINGDOM HEARTS -HD 1.5+2.5 ReMIX-;06;;;;;2604;1036
2881650;Content Warning;04;;;;;12341;973
1604030;V Rising;05;;;;;11565;1766
2406770;Bodycam;06;;;;;13227;4830
2701660;DRAGON QUEST III HD-2D Remake;11;;;;;1836;739
2679460;Metaphor: ReFantazio;10;;;;;8758;927
2072450;Like a Dragon: Infinite Wealth;01;;;;;5414;525
1601580;Frostpunk 2;09;;;;;8079;3005
2677660;Indiana Jones and the Great Circle;12;;;;;5287;554
2515020;FINAL FANTASY XVI;09;;;;;5657;1683
1672500;GUNDAM BREAKER 4;08;;;;;1863;506
2322010;God of War Ragnarök;09;;;;;7407;2184
2567870;Chained Together;06;;;;;16568;1932
526870;Satisfactory;09;;;;;20679;1218
2537590;Microsoft Flight Simulator 2024;11;;;;;3459;5714
2124490;SILENT HILL 2;10;;;;;16956;928
